Feature,Ridge_L2,Lasso_L1,Elastic_Net,Selected_by_Lasso
StudentID,4.6000305794462194e-08,7.033254125679765e-08,6.168583334338441e-08,False
Gender,-0.002426755776804044,-0.0,-0.0,False
City,-4.754698579031618e-05,-0.0,-0.0,False
CollegeTier,-0.011033529897536996,-0.0,-0.004370019768583494,False
Stream,-0.002217464339854797,-0.0,-0.0004852708275798525,False
Specialisation,-0.0010060317927045352,-0.0,-0.0,False
Hostel,-0.0019288502474095414,-0.0,-0.0,False
HistoryOfBacklogs,-0.09263723974949581,-0.036352799288482826,-0.06289804630616615,True
SGPA_Sem1,-0.021674360594910642,-0.0,-0.0008399890821624807,False
SGPA_Sem2,-0.020852837378575677,-0.0,-0.0,False
SGPA_Sem3,-0.01275563702074531,-0.0,-0.0,False
SGPA_Sem4,0.001072403309382352,-0.0,-0.0,False
SGPA_Sem5,0.008566134512361373,-0.0,-0.0,False
SGPA_Sem6,0.010987917808155069,-0.0,-0.0,False
SGPA_Sem7,0.018118925220443158,-0.0,-0.0,False
SGPA_Sem8,0.02473034410983177,-0.0,-0.0,False
CGPA,-0.09884213920532957,-0.03663943008125016,-0.06314836916403725,True
AttendancePercent,0.011438279162935402,0.007853155980969523,0.01032406546512944,True
Internships,0.024588862606867042,0.01646197793547681,0.018973887422612724,True
Projects,0.02525531543856885,0.017468899043835598,0.019237192475827402,True
Workshops,8.439716738271356e-05,0.0,0.0,False
Certifications,0.005557990809199156,0.006870021933355467,0.005948211813742128,True
Publications,-0.01325818733670664,0.0,-0.0,False
AptitudeTestScore,0.03120215578543123,0.022077908144375002,0.02626988496209133,True
SoftSkillsRating,0.015521353250721619,0.01881805329247495,0.017228573292600993,True
CodingTestScore,0.014333906971613993,0.0014283134432999307,0.007460783284042443,True
MockInterviewScore,-0.006281562141913625,0.0,0.0,False
ExtraCurricular,-0.03264189361651137,-0.013568368408188215,-0.022729077158122307,True
CGPA_Tier,0.28116495141611714,0.2544136650934981,0.26461205138541255,True
Salary Package,0.05920468173275651,0.05413703255849855,0.05627450329920163,True
IsAnomaly,-0.03029448823553766,-0.0,-0.0,False
